LO_DEBUG: input=6.00000000000007993606 | scaled=600000000000008.00000000000000000000
LO_DEBUG: input=6.00000000000008082424 | scaled=600000000000008.12500000000000000000
LO_DEBUG: input=6.00000000000008082424 | scaled=600000000000008.00000000000000000000
LO_DEBUG: input=6.00000000000008171241 | scaled=600000000000008.12500000000000000000
LO_DEBUG: input=6.00000000000008171241 | scaled=600000000000008.00000000000000000000
LO_DEBUG: input=6.00000000000008260059 | scaled=600000000000008.25000000000000000000
LO_DEBUG: input=6.00000000000008260059 | scaled=600000000000008.00000000000000000000
LO_DEBUG: input=6.00000000000008348877 | scaled=600000000000008.37500000000000000000
LO_DEBUG: input=6.00000000000008348877 | scaled=600000000000008.00000000000000000000
LO_DEBUG: input=6.00000000000008437695 | scaled=600000000000008.50000000000000000000
LO_DEBUG: input=6.00000000000008437695 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000008526513 | scaled=600000000000008.50000000000000000000
LO_DEBUG: input=6.00000000000008526513 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000008615331 | scaled=600000000000008.62500000000000000000
LO_DEBUG: input=6.00000000000008615331 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000008704149 | scaled=600000000000008.75000000000000000000
LO_DEBUG: input=6.00000000000008704149 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000008792966 | scaled=600000000000008.75000000000000000000
LO_DEBUG: input=6.00000000000008792966 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000008881784 | scaled=600000000000008.87500000000000000000
LO_DEBUG: input=6.00000000000008881784 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000008970602 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000008970602 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000009059420 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000009059420 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000009148238 | scaled=600000000000009.12500000000000000000
LO_DEBUG: input=6.00000000000009148238 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000009237056 | scaled=600000000000009.25000000000000000000
LO_DEBUG: input=6.00000000000009237056 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000009325873 | scaled=600000000000009.37500000000000000000
LO_DEBUG: input=6.00000000000009325873 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000009414691 | scaled=600000000000009.37500000000000000000
LO_DEBUG: input=6.00000000000009414691 | scaled=600000000000009.00000000000000000000
LO_DEBUG: input=6.00000000000009503509 | scaled=600000000000009.50000000000000000000
LO_DEBUG: input=6.00000000000009503509 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000009592327 | scaled=600000000000009.62500000000000000000
LO_DEBUG: input=6.00000000000009592327 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000009681145 | scaled=600000000000009.62500000000000000000
LO_DEBUG: input=6.00000000000009681145 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000009769963 | scaled=600000000000009.75000000000000000000
LO_DEBUG: input=6.00000000000009769963 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000009858780 | scaled=600000000000009.87500000000000000000
LO_DEBUG: input=6.00000000000009858780 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000009947598 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000009947598 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000010036416 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000010036416 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000010125234 | scaled=600000000000010.12500000000000000000
LO_DEBUG: input=6.00000000000010125234 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000010214052 | scaled=600000000000010.25000000000000000000
LO_DEBUG: input=6.00000000000010214052 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000010302870 | scaled=600000000000010.25000000000000000000
LO_DEBUG: input=6.00000000000010302870 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000010391688 | scaled=600000000000010.37500000000000000000
LO_DEBUG: input=6.00000000000010391688 | scaled=600000000000010.00000000000000000000
LO_DEBUG: input=6.00000000000010480505 | scaled=600000000000010.50000000000000000000
LO_DEBUG: input=6.00000000000010480505 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000010569323 | scaled=600000000000010.62500000000000000000
LO_DEBUG: input=6.00000000000010569323 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000010658141 | scaled=600000000000010.62500000000000000000
LO_DEBUG: input=6.00000000000010658141 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000010746959 | scaled=600000000000010.75000000000000000000
LO_DEBUG: input=6.00000000000010746959 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000010835777 | scaled=600000000000010.87500000000000000000
LO_DEBUG: input=6.00000000000010835777 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000010924595 | scaled=600000000000010.87500000000000000000
LO_DEBUG: input=6.00000000000010924595 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000011013412 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000011013412 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000011102230 | scaled=600000000000011.12500000000000000000
LO_DEBUG: input=6.00000000000011102230 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000011191048 | scaled=600000000000011.25000000000000000000
LO_DEBUG: input=6.00000000000011191048 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000011279866 | scaled=600000000000011.25000000000000000000
LO_DEBUG: input=6.00000000000011279866 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000011368684 | scaled=600000000000011.37500000000000000000
LO_DEBUG: input=6.00000000000011368684 | scaled=600000000000011.00000000000000000000
LO_DEBUG: input=6.00000000000011457502 | scaled=600000000000011.50000000000000000000
LO_DEBUG: input=6.00000000000011457502 | scaled=600000000000012.00000000000000000000
